epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,179.538,2.14049,1.33312,1.2061,0.35219,0.4271,0.42795,0.14257,2.25971,1.37939,1.30179,0.00987737,0.00987737,0.00987737
73,181.939,2.10604,1.29927,1.22534,0.43451,0.48082,0.44741,0.15915,2.31534,1.28813,1.32279,0.00987391,0.00987391,0.00987391
74,184.329,2.15993,1.39262,1.2045,0.36143,0.5959,0.42416,0.14587,2.35975,1.30257,1.35465,0.0098704,0.0098704,0.0098704
75,186.731,2.16039,1.37722,1.24038,0.37925,0.54233,0.47069,0.17607,2.40189,1.37519,1.35433,0.00986684,0.00986684,0.00986684
76,189.146,2.07055,1.36189,1.25647,0.35961,0.56391,0.44254,0.15593,2.44788,1.41793,1.40663,0.00986323,0.00986323,0.00986323
77,191.629,2.05883,1.28084,1.15845,0.30537,0.62459,0.45605,0.16127,2.47247,1.39928,1.4274,0.00985958,0.00985958,0.00985958
78,194.022,2.02929,1.35804,1.21551,0.32118,0.66201,0.39994,0.15753,2.50844,1.48686,1.42657,0.00985588,0.00985588,0.00985588
79,196.422,2.05892,1.41196,1.21975,0.34756,0.56574,0.42346,0.14871,2.53623,1.4989,1.45864,0.00985213,0.00985213,0.00985213
80,198.785,2.11374,1.57721,1.2545,0.33217,0.54733,0.4415,0.16188,2.48198,1.4313,1.44091,0.00984833,0.00984833,0.00984833
81,201.197,2.03344,1.30247,1.20856,0.273,0.70544,0.44306,0.16722,2.38093,1.39887,1.37523,0.00984449,0.00984449,0.00984449
82,203.662,2.05266,1.31088,1.21213,0.27861,0.73287,0.42847,0.16896,2.33986,1.36063,1.36047,0.0098406,0.0098406,0.0098406
83,206.073,2.07045,1.35009,1.20524,0.35484,0.50386,0.45757,0.15892,2.32729,1.44899,1.33314,0.00983666,0.00983666,0.00983666
84,208.469,2.01406,1.35442,1.22106,0.38252,0.56742,0.48078,0.20519,2.3288,1.35445,1.3387,0.00983267,0.00983267,0.00983267
85,210.976,2.00501,1.29341,1.10868,0.34508,0.6176,0.48446,0.18111,2.34261,1.38633,1.34341,0.00982864,0.00982864,0.00982864
86,213.376,2.14822,1.4454,1.27366,0.47502,0.44095,0.45341,0.15972,2.40384,1.37687,1.36672,0.00982456,0.00982456,0.00982456
87,215.858,2.12745,1.40425,1.27723,0.41388,0.5473,0.45793,0.18451,2.28369,1.30603,1.32719,0.00982043,0.00982043,0.00982043
88,218.24,1.98425,1.252,1.1908,0.33423,0.55464,0.44791,0.15297,2.37332,1.32099,1.37304,0.00981626,0.00981626,0.00981626
89,220.66,1.98849,1.30364,1.18116,0.43358,0.74381,0.58727,0.21277,2.23963,1.24395,1.30169,0.00981204,0.00981204,0.00981204
90,223.245,2.06264,1.24796,1.1568,0.41009,0.71732,0.57582,0.2051,2.35377,1.223,1.36535,0.00980777,0.00980777,0.00980777
91,225.668,2.00691,1.27225,1.15071,0.53423,0.57685,0.57604,0.20795,2.27493,1.25185,1.30246,0.00980345,0.00980345,0.00980345
92,228.096,1.97302,1.32089,1.16996,0.52936,0.6666,0.62127,0.22385,2.29325,1.29637,1.31649,0.00979909,0.00979909,0.00979909
93,230.689,1.93089,1.31636,1.21053,0.46758,0.70856,0.59317,0.24261,2.21697,1.23314,1.3042,0.00979468,0.00979468,0.00979468
94,233.27,1.89267,1.25846,1.20493,0.37958,0.61061,0.53329,0.20551,2.33478,1.28675,1.36126,0.00979023,0.00979023,0.00979023
95,235.704,2.08936,1.32681,1.25435,0.37572,0.67881,0.52061,0.24334,2.24934,1.25204,1.31223,0.00978572,0.00978572,0.00978572
96,238.208,1.98564,1.26371,1.21646,0.4209,0.60725,0.52838,0.21856,2.36402,1.30752,1.37015,0.00978118,0.00978118,0.00978118
97,240.633,2.04468,1.34641,1.2284,0.46246,0.62901,0.52514,0.24052,2.47128,1.30845,1.42155,0.00977658,0.00977658,0.00977658
98,243.138,2.01614,1.37843,1.26486,0.54611,0.48456,0.54027,0.19242,2.77259,1.36785,1.61925,0.00977194,0.00977194,0.00977194
99,245.546,1.91217,1.37673,1.19605,0.44774,0.62244,0.50162,0.21586,2.20834,1.34093,1.31549,0.00976725,0.00976725,0.00976725
100,247.974,1.98594,1.25053,1.23634,0.37391,0.59424,0.49549,0.23303,2.25078,1.28387,1.33008,0.00976251,0.00976251,0.00976251
101,250.377,2.01383,1.2462,1.19379,0.41934,0.54244,0.51723,0.2333,2.26206,1.26248,1.33265,0.00975773,0.00975773,0.00975773
102,252.802,2.02427,1.17744,1.17153,0.36091,0.67949,0.48171,0.19445,2.30044,1.20624,1.32803,0.0097529,0.0097529,0.0097529
103,255.234,1.91284,1.15001,1.16002,0.34189,0.7089,0.55257,0.21461,2.27772,1.23217,1.32415,0.00974803,0.00974803,0.00974803
104,257.646,2.12718,1.53098,1.2086,0.35603,0.71663,0.52714,0.21248,2.33833,1.31177,1.32696,0.0097431,0.0097431,0.0097431
105,260.041,1.98024,1.18991,1.15957,0.41817,0.53068,0.52382,0.20231,2.45332,1.3467,1.3535,0.00973814,0.00973814,0.00973814
106,262.433,1.95887,1.16946,1.20733,0.39614,0.48111,0.51894,0.17506,2.44521,1.39259,1.38015,0.00973312,0.00973312,0.00973312
107,264.839,1.99943,1.21016,1.17767,0.66975,0.37855,0.51943,0.20259,2.34996,1.303,1.34916,0.00972806,0.00972806,0.00972806
108,267.234,1.88328,1.14661,1.12934,0.47148,0.47453,0.48968,0.20502,2.35218,1.3836,1.33163,0.00972296,0.00972296,0.00972296
109,269.646,1.92438,1.16228,1.14107,0.39195,0.71749,0.52026,0.25185,2.25516,1.30135,1.32542,0.0097178,0.0097178,0.0097178
110,272.265,1.90729,1.23913,1.18846,0.45827,0.50696,0.51385,0.21701,2.31647,1.31551,1.3387,0.0097126,0.0097126,0.0097126
111,274.653,1.90668,1.1688,1.14644,0.39545,0.51027,0.47774,0.17323,2.35707,1.32513,1.36332,0.00970736,0.00970736,0.00970736
112,277.215,1.9513,1.18432,1.17445,0.33514,0.66101,0.4789,0.1703,2.32025,1.32488,1.36495,0.00970207,0.00970207,0.00970207
113,279.616,1.97159,1.24524,1.16737,0.47474,0.52661,0.45654,0.14977,2.37979,1.29828,1.39618,0.00969673,0.00969673,0.00969673
